n, time,ms, sample, mean, RMS, abs(1Harm), angle(1Harm), deg., abs(2Harm), abs(3Harm), abs(5Harm)
51, -458.333, 34.3864, -0.0226833, 59.5275, 59.4839, 125.213, 0.0240031, 0.23616, 2.19092
52, -457.5, 11.1015, -0.0144333, 59.529, 59.4858, 125.202, 0.0263164, 0.228895, 2.1796
53, -456.667, -8.3014, -0.00854167, 59.5282, 59.4851, 125.194, 0.0268009, 0.230149, 2.17945
54, -455.833, -25.4486, -0.00353333, 59.526, 59.4826, 125.187, 0.0255546, 0.235963, 2.18627
55, -455, -45.799, 0.00530417, 59.5192, 59.4754, 125.177, 0.0216122, 0.248256, 2.1927
56, -454.167, -67.1322, 0.0129667, 59.5106, 59.4671, 125.171, 0.01812, 0.254605, 2.1852
57, -453.333, -79.3085, 0.0135583, 59.5098, 59.4664, 125.17, 0.0176768, 0.254488, 2.18446
58, -452.5, -81.7693, 0.007075, 59.5187, 59.4754, 125.172, 0.0260692, 0.261864, 2.18231
59, -451.667, -81.3309, 0.00530417, 59.5211, 59.4779, 125.172, 0.0285338, 0.264337, 2.17981
60, -450.833, -79.0398, 0.0035375, 59.5235, 59.4802, 125.171, 0.0304959, 0.265811, 2.1791
61, -450, -70.9082, -0.0005875, 59.5284, 59.485, 125.168, 0.0332321, 0.264997, 2.18408
62, -449.167, -55.4651, -0.00765833, 59.5349, 59.4914, 125.16, 0.0351215, 0.257148, 2.19133
63, -448.333, -34.45, -0.0156125, 59.5395, 59.4961, 125.15, 0.0347825, 0.245964, 2.186
64, -447.5, -11.1864, -0.0223917, 59.5408, 59.4978, 125.141, 0.0323584, 0.240087, 2.17666
65, -446.667, 8.2095, -0.0250417, 59.5404, 59.4974, 125.138, 0.0302763, 0.240643, 2.17655
66, -445.833, 25.3142, -0.0294625, 59.5385, 59.4953, 125.132, 0.0250023, 0.245727, 2.18254
67, -445, 45.7, -0.0380083, 59.532, 59.4883, 125.123, 0.0130504, 0.257644, 2.1889
68, -444.167, 67.1322, -0.0439042, 59.5253, 59.4819, 125.117, 0.00574898, 0.262588, 2.18321
69, -443.333, 79.2661, -0.04685, 59.5214, 59.4782, 125.116, 0.00616786, 0.262048, 2.17953
70, -442.5, 81.543, -0.0474375, 59.5206, 59.4773, 125.116, 0.00687075, 0.261394, 2.17972
71, -441.667, 81.1894, -0.0480292, 59.5198, 59.4765, 125.116, 0.00770748, 0.260564, 2.18056
72, -440.833, 78.9408, -0.0480292, 59.5198, 59.4765, 125.116, 0.00770748, 0.260564, 2.18056
73, -440, 70.9506, -0.0421375, 59.5268, 59.4833, 125.111, 0.00800308, 0.259694, 2.18763
74, -439.167, 55.6136, -0.0330042, 59.5353, 59.4916, 125.101, 0.0204031, 0.249926, 2.19707
75, -438.333, 34.5561, -0.0259333, 59.5394, 59.4958, 125.093, 0.0299951, 0.239942, 2.19241
76, -437.5, 11.3136, -0.0170958, 59.5411, 59.498, 125.081, 0.0400021, 0.231817, 2.18022
77, -436.667, -8.167, -0.0114958, 59.5403, 59.4973, 125.073, 0.0443803, 0.232726, 2.17992
78, -435.833, -25.2365, -0.00265833, 59.5365, 59.493, 125.062, 0.0477387, 0.242768, 2.19187
79, -435, -45.6576, 0.00323333, 59.532, 59.4882, 125.055, 0.0474444, 0.250993, 2.19629
80, -434.167, -66.9908, 0.009125, 59.5254, 59.4818, 125.05, 0.0442887, 0.255974, 2.19063
81, -433.333, -79.2095, 0.01325, 59.5199, 59.4765, 125.048, 0.040193, 0.255275, 2.18547
82, -432.5, -81.6844, 0.0167875, 59.515, 59.4716, 125.047, 0.0354779, 0.251394, 2.18658
83, -431.667, -81.3309, 0.0167875, 59.515, 59.4716, 125.047, 0.0354779, 0.251394, 2.18658
84, -430.833, -79.0398, 0.0167875, 59.515, 59.4716, 125.047, 0.0354779, 0.251394, 2.18658
85, -430, -70.993, 0.0132542, 59.5192, 59.4757, 125.044, 0.0375466, 0.250963, 2.19082
86, -429.167, -55.5428, 0.0100167, 59.5222, 59.4786, 125.041, 0.0376641, 0.247505, 2.19417
87, -428.333, -34.5843, 0.00442083, 59.5255, 59.482, 125.034, 0.0350552, 0.239609, 2.19048
88, -427.5, -11.3985, -0.00441667, 59.5272, 59.4841, 125.022, 0.0280137, 0.23157, 2.17829
89, -426.667, 7.9832, -0.0138458, 59.5259, 59.483, 125.009, 0.0188691, 0.233374, 2.17781
90, -425.833, 25.1092, -0.0223875, 59.5223, 59.4788, 124.998, 0.0103702, 0.243297, 2.18937
91, -425, 45.5303, -0.0294583, 59.5169, 59.4731, 124.991, 0.0062759, 0.253119, 2.19466
92, -424.167, 67.0333, -0.0335792, 59.5122, 59.4686, 124.987, 0.00735126, 0.256454, 2.19069
93, -423.333, 79.2095, -0.0359375, 59.5091, 59.4656, 124.986, 0.0083109, 0.255922, 2.18774
94, -422.5, 81.5854, -0.0341708, 59.5115, 59.4681, 124.986, 0.00875525, 0.257943, 2.18718
95, -421.667, 81.2036, -0.0335792, 59.5123, 59.4689, 124.986, 0.0093976, 0.258769, 2.18635
96, -420.833, 78.9974, -0.0312208, 59.5154, 59.472, 124.985, 0.0127077, 0.260738, 2.18537
97, -420, 71.0637, -0.0265083, 59.521, 59.4775, 124.981, 0.0189919, 0.259835, 2.19102
98, -419.167, 55.7833, -0.0194375, 59.5277, 59.4839, 124.974, 0.0269382, 0.252024, 2.19834
99, -418.333, 34.7753, -0.0103042, 59.533, 59.4894, 124.963, 0.0351693, 0.239174, 2.19233
100, -417.5, 11.5753, 0.0006, 59.5351, 59.4921, 124.948, 0.0426001, 0.229775, 2.17728
101, -416.667, -7.9195, 0.0109125, 59.5337, 59.4908, 124.934, 0.0469945, 0.232493, 2.17673
102, -415.833, -25.293, 0.00855833, 59.5347, 59.492, 124.937, 0.0473286, 0.229691, 2.17355
103, -415, -45.5586, 0.0126833, 59.5315, 59.4886, 124.932, 0.0439981, 0.235399, 2.17664
104, -414.167, -66.5807, 0.0297708, 59.5124, 59.4701, 124.917, 0.025428, 0.249463, 2.16027
