         n   time, ms     sample       mean        RMS    H1, abs              H1, deg              H2, abs    H3, abs    H5, abs
       278  -269.1667   -56.9429     0.0041    59.5073    59.4630             123.9469               0.0334     0.2387     2.2127
       279  -268.3333   -36.2248    -0.0050    59.5129    59.4687             123.9357               0.0324     0.2258     2.2077
       280  -267.5000   -12.9824    -0.0112    59.5142    59.4704             123.9274               0.0300     0.2197     2.1990
       281  -266.6667     6.7387    -0.0174    59.5135    59.4698             123.9190               0.0256     0.2202     2.1979
       282  -265.8333    23.8081    -0.0224    59.5115    59.4675             123.9126               0.0205     0.2257     2.2045
       283  -265.0000    43.8545    -0.0336    59.5032    59.4586             123.8999               0.0079     0.2414     2.2140
       284  -264.1667    65.6473    -0.0395    59.4967    59.4524             123.8946               0.0048     0.2468     2.2089
       285  -263.3333    78.7711    -0.0412    59.4944    59.4501             123.8936               0.0051     0.2467     2.2066
       286  -262.5000    81.4440    -0.0412    59.4944    59.4501             123.8936               0.0051     0.2467     2.2066
       287  -261.6667    81.1470    -0.0424    59.4928    59.4484             123.8937               0.0043     0.2450     2.2083
       288  -260.8333    79.3651    -0.0389    59.4975    59.4532             123.8921               0.0087     0.2484     2.2064
       289  -260.0000    71.9123    -0.0330    59.5046    59.4601             123.8876               0.0170     0.2482     2.2130
       290  -259.1667    57.0560    -0.0265    59.5108    59.4661             123.8810               0.0250     0.2417     2.2203
       291  -258.3333    36.4440    -0.0177    59.5162    59.4716             123.8702               0.0339     0.2292     2.2155
       292  -257.5000    13.1662    -0.0080    59.5183    59.4743             123.8572               0.0414     0.2195     2.2018
       293  -256.6667    -6.7670    -0.0021    59.5176    59.4737             123.8492               0.0438     0.2199     2.2008
       294  -255.8333   -23.7940     0.0056    59.5146    59.4702             123.8393               0.0437     0.2281     2.2108
       295  -255.0000   -43.7767     0.0135    59.5087    59.4640             123.8303               0.0405     0.2393     2.2176
       296  -254.1667   -65.4918     0.0206    59.5009    59.4564             123.8240               0.0351     0.2458     2.2115
       297  -253.3333   -78.6863     0.0236    59.4970    59.4527             123.8222               0.0317     0.2456     2.2077
       298  -252.5000   -81.5288     0.0265    59.4930    59.4486             123.8214               0.0276     0.2426     2.2082
       299  -251.6667   -81.2601     0.0277    59.4914    59.4469             123.8215               0.0260     0.2409     2.2099
       300  -250.8333   -79.4358     0.0242    59.4961    59.4517             123.8200               0.0294     0.2444     2.2079
       301  -250.0000   -71.9688     0.0206    59.5003    59.4558             123.8173               0.0311     0.2444     2.2119
       302  -249.1667   -57.1126     0.0135    59.5071    59.4624             123.8100               0.0317     0.2375     2.2198
       303  -248.3333   -36.4440     0.0044    59.5127    59.4681             123.7989               0.0306     0.2246     2.2149
       304  -247.5000   -13.2369    -0.0062    59.5150    59.4710             123.7847               0.0282     0.2138     2.2001
       305  -246.6667     6.5548    -0.0139    59.5142    59.4703             123.7743               0.0258     0.2142     2.1986
       306  -245.8333    23.6455    -0.0206    59.5115    59.4672             123.7655               0.0223     0.2214     2.2075
       307  -245.0000    43.6918    -0.0274    59.5065    59.4619             123.7578               0.0177     0.2310     2.2133
       308  -244.1667    65.4918    -0.0339    59.4994    59.4550             123.7520               0.0129     0.2370     2.2078
       309  -243.3333    78.6439    -0.0392    59.4923    59.4483             123.7488               0.0092     0.2367     2.2008
       310  -242.5000    81.4723    -0.0380    59.4940    59.4499             123.7491               0.0103     0.2379     2.2006
       311  -241.6667    81.1470    -0.0380    59.4940    59.4499             123.7491               0.0103     0.2379     2.2006
       312  -240.8333    79.4217    -0.0356    59.4971    59.4531             123.7481               0.0136     0.2402     2.1993
       313  -240.0000    71.9830    -0.0327    59.5007    59.4565             123.7459               0.0168     0.2402     2.2026
       314  -239.1667    57.2187    -0.0259    59.5072    59.4629             123.7389               0.0227     0.2335     2.2102
       315  -238.3333    36.6632    -0.0168    59.5128    59.4686             123.7278               0.0295     0.2206     2.2054
       316  -237.5000    13.4208    -0.0062    59.5152    59.4715             123.7136               0.0360     0.2099     2.1905
       317  -236.6667    -6.5478     0.0030    59.5141    59.4707             123.7012               0.0397     0.2105     2.1887
       318  -235.8333   -23.5677     0.0124    59.5104    59.4664             123.6890               0.0409     0.2209     2.2010
       319  -235.0000   -43.5433     0.0221    59.5032    59.4588             123.6780               0.0396     0.2345     2.2094
       320  -234.1667   -65.2514     0.0321    59.4922    59.4481             123.6690               0.0358     0.2436     2.2009
       321  -233.3333   -78.6297     0.0345    59.4891    59.4452             123.6675               0.0340     0.2434     2.1978
       322  -232.5000   -81.5995     0.0315    59.4932    59.4492             123.6683               0.0377     0.2465     2.1973
       323  -231.6667   -81.2884     0.0304    59.4948    59.4509             123.6682               0.0394     0.2482     2.1957
       324  -230.8333   -79.4358     0.0304    59.4948    59.4509             123.6682               0.0394     0.2482     2.1957
       325  -230.0000   -72.1385     0.0233    59.5033    59.4592             123.6629               0.0448     0.2477     2.2035
       326  -229.1667   -57.2752     0.0165    59.5098    59.4656             123.6560               0.0471     0.2409     2.2112
       327  -228.3333   -36.6632     0.0074    59.5155    59.4713             123.6448               0.0467     0.2280     2.2064
       328  -227.5000   -13.4420    -0.0012    59.5174    59.4737             123.6334               0.0431     0.2196     2.1944
       329  -226.6667     6.3568    -0.0094    59.5165    59.4729             123.6222               0.0368     0.2203     2.1927
       330  -225.8333    23.4475    -0.0177    59.5132    59.4692             123.6115               0.0281     0.2293     2.2035
       331  -225.0000    43.4726    -0.0268    59.5065    59.4621             123.6012               0.0163     0.2422     2.2115
       332  -224.1667    65.3079    -0.0345    59.4981    59.4539             123.5943               0.0055     0.2491     2.2050
       333  -223.3333    78.3186    -0.0480    59.4802    59.4368             123.5860               0.0142     0.2483     2.1872
       334  -222.5000    81.7693    -0.0356    59.4972    59.4539             123.5894               0.0068     0.2610     2.1852
       335  -221.6667    81.3167    -0.0286    59.5069    59.4639             123.5888               0.0166     0.2709     2.1753
       336  -220.8333    79.4075    -0.0292    59.5061    59.4631             123.5890               0.0158     0.2704     2.1757
       337  -220.0000    71.7991    -0.0368    59.4968    59.4541             123.5948               0.0127     0.2712     2.1672
       338  -219.1667    57.2894    -0.0339    59.4996    59.4568             123.5918               0.0108     0.2680     2.1706
       339  -218.3333    36.4440    -0.0430    59.4940    59.4511             123.6029               0.0221     0.2808     2.1753
       340  -217.5000    13.6966    -0.0315    59.4966    59.4543             123.5876               0.0068     0.2705     2.1591
       341  -216.6667    -6.3710    -0.0242    59.4958    59.4536             123.5776               0.0100     0.2720     2.1575
       342  -215.8333   -23.7303    -0.0309    59.4985    59.4567             123.5863               0.0016     0.2643     2.1488
       343  -215.0000   -42.9989    -0.0082    59.4820    59.4390             123.5606               0.0331     0.2961     2.1689
       344  -214.1667   -64.8271     0.0094    59.4627    59.4202             123.5446               0.0565     0.3121     2.1544
       345  -213.3333   -78.5307     0.0136    59.4573    59.4150             123.5421               0.0607     0.3118     2.1489
       346  -212.5000   -81.4440     0.0200    59.4484    59.4060             123.5403               0.0641     0.3051     2.1498
       347  -211.6667   -81.1329     0.0265    59.4395    59.3969             123.5409               0.0641     0.2959     2.1588
       348  -210.8333   -79.4924     0.0242    59.4427    59.4000             123.5399               0.0656     0.2983     2.1574
       349  -210.0000   -72.0112     0.0295    59.4362    59.3938             123.5439               0.0594     0.2985     2.1516
       350  -209.1667   -57.1763     0.0336    59.4323    59.3899             123.5481               0.0535     0.3028     2.1469
       351  -208.3333   -36.7834     0.0286    59.4354    59.3931             123.5420               0.0601     0.2957     2.1444
       352  -207.5000   -13.5339     0.0247    59.4362    59.3942             123.5368               0.0636     0.2921     2.1390
       353  -206.6667     6.3356     0.0239    59.4361    59.3941             123.5356               0.0639     0.2922     2.1388
       354  -205.8333    23.2071     0.0138    59.4322    59.3896             123.5227               0.0614     0.3030     2.1517
       355  -205.0000    42.9989    -0.0059    59.4179    59.3742             123.5002               0.0514     0.3308     2.1695
       356  -204.1667    64.7564    -0.0289    59.3927    59.3498             123.4794               0.0411     0.3524     2.1510
       357  -203.3333    78.2620    -0.0312    59.3896    59.3468             123.4780               0.0397     0.3524     2.1479
       358  -202.5000    81.2884    -0.0513    59.3621    59.3191             123.4725               0.0239     0.3327     2.1502
       359  -201.6667    81.0056    -0.0642    59.3443    59.3008             123.4736               0.0190     0.3143     2.1683
       360  -200.8333    79.2661    -0.0701    59.3365    59.2929             123.4762               0.0180     0.3082     2.1718
       361  -200.0000    72.0961    -0.0577    59.3515    59.3075             123.4668               0.0297     0.3092     2.1852
       362  -199.1667    57.5086    -0.0486    59.3603    59.3160             123.4575               0.0426     0.3011     2.1958
       363  -198.3333    37.0026    -0.0253    59.3747    59.3308             123.4291               0.0734     0.2685     2.1847
       364  -197.5000    13.7461    -0.0233    59.3752    59.3313             123.4263               0.0755     0.2661     2.1818
       365  -196.6667    -6.2084    -0.0165    59.3745    59.3308             123.4171               0.0787     0.2651     2.1800
       366  -195.8333   -23.1010     0.0097    59.3641    59.3191             123.3831               0.0827     0.2902     2.2136
       367  -195.0000   -42.8079     0.0177    59.3584    59.3129             123.3740               0.0813     0.3014     2.2208
       368  -194.1667   -64.5725     0.0283    59.3468    59.3017             123.3644               0.0742     0.3122     2.2123
       369  -193.3333   -78.2196     0.0412    59.3297    59.2853             123.3564               0.0606     0.3132     2.1950
       370  -192.5000   -81.3450     0.0454    59.3240    59.2796             123.3553               0.0550     0.3095     2.1955
       371  -191.6667   -81.1329     0.0454    59.3240    59.2796             123.3553               0.0550     0.3095     2.1955
       372  -190.8333   -79.3793     0.0501    59.3177    59.2732             123.3573               0.0502     0.3044     2.1983
       373  -190.0000   -72.1951     0.0424    59.3270    59.2823             123.3516               0.0538     0.3055     2.2066
       374  -189.1667   -57.5157     0.0283    59.3407    59.2956             123.3371               0.0559     0.2936     2.2231
       375  -188.3333   -37.0451     0.0174    59.3475    59.3025             123.3238               0.0543     0.2784     2.2180
       376  -187.5000   -13.8592     0.0038    59.3506    59.3064             123.3057               0.0484     0.2628     2.1989
       377  -186.6667     6.0174    -0.0094    59.3492    59.3053             123.2876               0.0399     0.2608     2.1954
       378  -185.8333    22.9525    -0.0200    59.3451    59.3006             123.2738               0.0311     0.2708     2.2090
       379  -185.0000    42.6736    -0.0336    59.3353    59.2901             123.2583               0.0187     0.2900     2.2214
       380  -184.1667    64.5301    -0.0430    59.3250    59.2801             123.2498               0.0120     0.2998     2.2139
       381  -183.3333    78.1772    -0.0466    59.3204    59.2757             123.2476               0.0100     0.3002     2.2092
       382  -182.5000    81.2601    -0.0477    59.3188    59.2740             123.2473               0.0090     0.2991     2.2093
       383  -181.6667    80.9490    -0.0501    59.3156    59.2707             123.2474               0.0062     0.2958     2.2126
       384  -180.8333    79.2520    -0.0507    59.3148    59.2699             123.2477               0.0054     0.2951     2.2129
       385  -180.0000    72.1385    -0.0489    59.3169    59.2720             123.2464               0.0078     0.2954     2.2148
       386  -179.1667    57.6712    -0.0421    59.3235    59.2784             123.2395               0.0163     0.2893     2.2227
       387  -178.3333    37.2713    -0.0309    59.3305    59.2855             123.2258               0.0293     0.2736     2.2176
       388  -177.5000    13.9865    -0.0209    59.3328    59.2884             123.2124               0.0392     0.2626     2.2035
       389  -176.6667    -6.0316    -0.0136    59.3321    59.2878             123.2023               0.0442     0.2619     2.2015
       390  -175.8333   -22.8818    -0.0044    59.3285    59.2838             123.1905               0.0471     0.2707     2.2131
       391  -175.0000   -42.5817     0.0050    59.3218    59.2765             123.1797               0.0469     0.2841     2.2218
       392  -174.1667   -64.3463     0.0144    59.3115    59.2666             123.1711               0.0435     0.2937     2.2144
       393  -173.3333   -78.1489     0.0174    59.3076    59.2629             123.1693               0.0412     0.2939     2.2105
       394  -172.5000   -81.3874     0.0156    59.3101    59.2653             123.1698               0.0434     0.2956     2.2103
       395  -171.6667   -81.1187     0.0162    59.3092    59.2645             123.1698               0.0425     0.2948     2.2111
       396  -170.8333   -79.3651     0.0168    59.3085    59.2637             123.1701               0.0418     0.2942     2.2115
       397  -170.0000   -72.2517     0.0144    59.3113    59.2665             123.1683               0.0434     0.2943     2.2140
       398  -169.1667   -57.6783     0.0077    59.3179    59.2729             123.1614               0.0444     0.2881     2.2220
       399  -168.3333   -37.3138    -0.0035    59.3249    59.2800             123.1478               0.0424     0.2723     2.2170
       400  -167.5000   -14.1632    -0.0162    59.3279    59.2837             123.1308               0.0379     0.2588     2.1991
       401  -166.6667     5.8194    -0.0245    59.3271    59.2831             123.1196               0.0333     0.2585     2.1968
       402  -165.8333    22.7263    -0.0339    59.3235    59.2789             123.1073               0.0257     0.2681     2.2087
       403  -165.0000    42.4120    -0.0448    59.3156    59.2705             123.0948               0.0164     0.2835     2.2189
       404  -164.1667    64.2897    -0.0548    59.3048    59.2599             123.0857               0.0111     0.2934     2.2112
       405  -163.3333    78.0782    -0.0589    59.2993    59.2547             123.0831               0.0107     0.2935     2.2056
       406  -162.5000    81.2319    -0.0601    59.2977    59.2531             123.0828               0.0103     0.2923     2.2057
       407  -161.6667    80.9490    -0.0601    59.2977    59.2531             123.0828               0.0103     0.2923     2.2057
       408  -160.8333    79.2520    -0.0601    59.2977    59.2531             123.0828               0.0103     0.2923     2.2057
       409  -160.0000    72.2375    -0.0560    59.3027    59.2580             123.0797               0.0160     0.2925     2.2101
       410  -159.1667    57.8692    -0.0477    59.3108    59.2658             123.0713               0.0264     0.2848     2.2198
       411  -158.3333    37.4976    -0.0383    59.3167    59.2718             123.0598               0.0362     0.2715     2.2158
       412  -157.5000    14.2552    -0.0271    59.3194    59.2751             123.0449               0.0454     0.2596     2.1999
       413  -156.6667    -5.7912    -0.0171    59.3184    59.2744             123.0312               0.0507     0.2594     2.1970
       414  -155.8333   -22.7333    -0.0109    59.3160    59.2717             123.0231               0.0514     0.2658     2.2048
       415  -155.0000   -42.3059     0.0006    59.3078    59.2628             123.0100               0.0481     0.2820     2.2156
       416  -154.1667   -64.1200     0.0100    59.2976    59.2529             123.0013               0.0426     0.2913     2.2084
       417  -153.3333   -77.9933     0.0165    59.2890    59.2447             122.9973               0.0364     0.2914     2.1997
       418  -152.5000   -81.3450     0.0183    59.2866    59.2423             122.9968               0.0341     0.2897     2.1998
       419  -151.6667   -81.0339     0.0218    59.2818    59.2373             122.9971               0.0292     0.2847     2.2047
       420  -150.8333   -79.3510     0.0224    59.2810    59.2365             122.9973               0.0285     0.2841     2.2051
       421  -150.0000   -72.3224     0.0194    59.2846    59.2400             122.9951               0.0304     0.2843     2.2082
       422  -149.1667   -57.9329     0.0088    59.2949    59.2500             122.9843               0.0339     0.2745     2.2208
       423  -148.3333   -37.5895    -0.0026    59.3022    59.2574             122.9703               0.0367     0.2583     2.2159
       424  -147.5000   -14.4319    -0.0138    59.3049    59.2607             122.9554               0.0381     0.2463     2.2001
       425  -146.6667     5.5790    -0.0239    59.3039    59.2600             122.9417               0.0375     0.2459     2.1970
       426  -145.8333    22.5141    -0.0327    59.3005    59.2561             122.9302               0.0350     0.2549     2.2081
       427  -145.0000    42.1857    -0.0421    59.2938    59.2489             122.9194               0.0301     0.2682     2.2171
       428  -144.1667    64.0210    -0.0533    59.2817    59.2371             122.9091               0.0234     0.2793     2.2087
       429  -143.3333    77.9933    -0.0569    59.2771    59.2327             122.9069               0.0206     0.2794     2.2039
       430  -142.5000    81.2177    -0.0575    59.2762    59.2319             122.9067               0.0199     0.2788     2.2039
       431  -141.6667    80.9349    -0.0580    59.2754    59.2310             122.9068               0.0191     0.2779     2.2047
       432  -140.8333    79.2520    -0.0580    59.2754    59.2310             122.9068               0.0191     0.2779     2.2047
       433  -140.0000    72.2941    -0.0557    59.2783    59.2338             122.9050               0.0212     0.2781     2.2072
       434  -139.1667    58.0318    -0.0489    59.2849    59.2403             122.8981               0.0249     0.2716     2.2153
       435  -138.3333    37.8087    -0.0360    59.2932    59.2486             122.8824               0.0318     0.2534     2.2100
       436  -137.5000    14.5309    -0.0245    59.2960    59.2520             122.8670               0.0378     0.2413     2.1937
       437  -136.6667    -5.5366    -0.0139    59.2949    59.2513             122.8525               0.0416     0.2414     2.1903
       438  -135.8333   -22.5000    -0.0041    59.2912    59.2471             122.8399               0.0426     0.2517     2.2025
       439  -135.0000   -41.9877     0.0091    59.2818    59.2369             122.8246               0.0414     0.2704     2.2153
       440  -134.1667   -63.8089     0.0221    59.2678    59.2233             122.8127               0.0390     0.2827     2.2056
       441  -133.3333   -77.8802     0.0268    59.2616    59.2174             122.8098               0.0367     0.2827     2.1992
       442  -132.5000   -81.3450     0.0268    59.2616    59.2174             122.8098               0.0367     0.2827     2.1992
       443  -131.6667   -81.0339     0.0268    59.2616    59.2174             122.8098               0.0367     0.2827     2.1992
       444  -130.8333   -79.3510     0.0268    59.2616    59.2174             122.8098               0.0367     0.2827     2.1992
       445  -130.0000   -72.4214     0.0227    59.2667    59.2223             122.8067               0.0410     0.2828     2.2035
       446  -129.1667   -58.1308     0.0144    59.2747    59.2301             122.7984               0.0464     0.2749     2.2134
       447  -128.3333   -37.8724     0.0026    59.2822    59.2377             122.7840               0.0505     0.2582     2.2088
       448  -127.5000   -14.7431    -0.0103    59.2854    59.2416             122.7667               0.0518     0.2448     2.1904
       449  -126.6667     5.3881    -0.0183    59.2847    59.2411             122.7558               0.0499     0.2450     2.1877
       450  -125.8333    22.3232    -0.0262    59.2817    59.2377             122.7454               0.0447     0.2533     2.1976
       451  -125.0000    41.8675    -0.0395    59.2723    59.2275             122.7302               0.0323     0.2720     2.2106
       452  -124.1667    63.7664    -0.0501    59.2608    59.2164             122.7204               0.0207     0.2822     2.2029
       453  -123.3333    77.8943    -0.0542    59.2554    59.2112             122.7178               0.0155     0.2821     2.1973
       454  -122.5000    81.2177    -0.0542    59.2554    59.2112             122.7178               0.0155     0.2821     2.1973
       455  -121.6667    80.9349    -0.0542    59.2554    59.2112             122.7178               0.0155     0.2821     2.1973
       456  -120.8333    79.3227    -0.0513    59.2594    59.2152             122.7166               0.0179     0.2851     2.1952
       457  -120.0000    72.4779    -0.0436    59.2687    59.2243             122.7110               0.0226     0.2854     2.2030
       458  -119.1667    58.2510    -0.0345    59.2777    59.2330             122.7017               0.0278     0.2768     2.2141
       459  -118.3333    38.0350    -0.0251    59.2837    59.2391             122.6902               0.0321     0.2635     2.2105
       460  -117.5000    14.7643    -0.0153    59.2861    59.2421             122.6773               0.0351     0.2532     2.1967
       461  -116.6667    -5.3952    -0.0094    59.2856    59.2417             122.6692               0.0352     0.2529     2.1947
       462  -115.8333   -22.2878    -0.0006    59.2822    59.2379             122.6577               0.0326     0.2617     2.2056
       463  -115.0000   -41.8463     0.0053    59.2781    59.2334             122.6509               0.0291     0.2701     2.2114
       464  -114.1667   -63.6674     0.0112    59.2717    59.2272             122.6455               0.0236     0.2759     2.2071
       465  -113.3333   -77.8519     0.0124    59.2702    59.2257             122.6447               0.0221     0.2760     2.2055
       466  -112.5000   -81.3167     0.0135    59.2686    59.2241             122.6444               0.0204     0.2748     2.2055
       467  -111.6667   -81.0339     0.0135    59.2686    59.2241             122.6444               0.0204     0.2748     2.2055
       468  -110.8333   -79.4075     0.0112    59.2717    59.2273             122.6434               0.0222     0.2772     2.2039
       469  -110.0000   -72.5769     0.0047    59.2796    59.2350             122.6386               0.0248     0.2776     2.2105
       470  -109.1667   -58.2864    -0.0018    59.2860    59.2412             122.6321               0.0260     0.2715     2.2184
       471  -108.3333   -38.0279    -0.0083    59.2901    59.2454             122.6242               0.0257     0.2624     2.2159
       472  -107.5000   -14.8916    -0.0144    59.2917    59.2473             122.6159               0.0238     0.2558     2.2071
       473  -106.6667     5.2538    -0.0200    59.2912    59.2469             122.6083               0.0208     0.2554     2.2052
       474  -105.8333    22.1111    -0.0289    59.2879    59.2431             122.5968               0.0153     0.2641     2.2161
       475  -105.0000    41.6412    -0.0383    59.2812    59.2359             122.5859               0.0130     0.2774     2.2254
       476  -104.1667    63.5967    -0.0454    59.2736    59.2286             122.5794               0.0149     0.2846     2.2203
       477  -103.3333    77.7671    -0.0507    59.2667    59.2219             122.5760               0.0167     0.2849     2.2131
       478  -102.5000    81.2460    -0.0495    59.2683    59.2235             122.5764               0.0169     0.2860     2.2131
       479  -101.6667    80.9490    -0.0489    59.2691    59.2244             122.5763               0.0174     0.2868     2.2123
       480  -100.8333    79.3227    -0.0489    59.2691    59.2244             122.5763               0.0174     0.2868     2.2123
       481  -100.0000    72.5345    -0.0465    59.2720    59.2272             122.5746               0.0207     0.2870     2.2146
       482   -99.1667    58.4702    -0.0374    59.2810    59.2359             122.5654               0.0318     0.2785     2.2258
       483   -98.3333    38.2966    -0.0265    59.2880    59.2430             122.5522               0.0427     0.2632     2.2217
       484   -97.5000    15.0683    -0.0138    59.2912    59.2469             122.5352               0.0523     0.2496     2.2038
       485   -96.6667    -5.1760    -0.0047    59.2904    59.2463             122.5228               0.0563     0.2493     2.2005
       486   -95.8333   -22.0828     0.0038    59.2872    59.2426             122.5116               0.0564     0.2580     2.2110
       487   -95.0000   -41.5281     0.0171    59.2778    59.2326             122.4963               0.0519     0.2768     2.2242
       488   -94.1667   -63.3705     0.0295    59.2646    59.2197             122.4849               0.0445     0.2890     2.2155
       489   -93.3333   -77.6681     0.0371    59.2545    59.2101             122.4800               0.0376     0.2893     2.2050
       490   -92.5000   -81.2601     0.0395    59.2513    59.2068             122.4793               0.0347     0.2871     2.2050
       491   -91.6667   -81.0197     0.0401    59.2505    59.2060             122.4794               0.0338     0.2863     2.2058
       492   -90.8333   -79.4075     0.0401    59.2505    59.2060             122.4794               0.0338     0.2863     2.2058
       493   -90.0000   -72.6618     0.0365    59.2548    59.2102             122.4768               0.0365     0.2866     2.2093
       494   -89.1667   -58.5410     0.0259    59.2653    59.2203             122.4661               0.0409     0.2770     2.2224
       495   -88.3333   -38.3249     0.0135    59.2733    59.2284             122.4511               0.0438     0.2597     2.2180
       496   -87.5000   -15.1532     0.0026    59.2760    59.2318             122.4365               0.0440     0.2477     2.2025
       497   -86.6667     5.0204    -0.0071    59.2752    59.2312             122.4232               0.0417     0.2469     2.1989
       498   -85.8333    21.9697    -0.0130    59.2730    59.2287             122.4155               0.0381     0.2527     2.2061
       499   -85.0000    41.4008    -0.0230    59.2660    59.2211             122.4040               0.0288     0.2668     2.2161
       500   -84.1667    63.3280    -0.0342    59.2540    59.2095             122.3936               0.0167     0.2783     2.2084
       501   -83.3333    77.6681    -0.0383    59.2486    59.2043             122.3910               0.0117     0.2786     2.2027
       502   -82.5000    81.1894    -0.0407    59.2453    59.2010             122.3903               0.0084     0.2765     2.2027
       503   -81.6667    80.9349    -0.0413    59.2445    59.2002             122.3903               0.0077     0.2756     2.2035
       504   -80.8333    79.3651    -0.0395    59.2469    59.2026             122.3896               0.0094     0.2775     2.2022
       505   -80.0000    72.7042    -0.0324    59.2556    59.2110             122.3844               0.0161     0.2785     2.2092
       506   -79.1667    58.7177    -0.0221    59.2658    59.2209             122.3740               0.0261     0.2698     2.2219
       507   -78.3333    38.5017    -0.0136    59.2713    59.2265             122.3637               0.0333     0.2578     2.2189
       508   -77.5000    15.2380    -0.0065    59.2731    59.2287             122.3542               0.0373     0.2497     2.2089
       509   -76.6667    -5.0134     0.0003    59.2725    59.2283             122.3450               0.0386     0.2485     2.2063
       510   -75.8333   -21.8989     0.0080    59.2697    59.2251             122.3350               0.0373     0.2555     2.2157
       511   -75.0000   -41.3018     0.0174    59.2631    59.2179             122.3241               0.0330     0.2688     2.2252
       512   -74.1667   -63.1442     0.0268    59.2530    59.2081             122.3153               0.0269     0.2790     2.2187
       513   -73.3333   -77.5832     0.0303    59.2484    59.2037             122.3131               0.0236     0.2795     2.2139
       514   -72.5000   -81.2460     0.0309    59.2476    59.2029             122.3129               0.0229     0.2790     2.2139
       515   -71.6667   -81.0197     0.0309    59.2476    59.2029             122.3129               0.0229     0.2790     2.2139
       516   -70.8333   -79.4924     0.0274    59.2523    59.2077             122.3114               0.0271     0.2830     2.2113
       517   -70.0000   -72.8315     0.0203    59.2610    59.2161             122.3063               0.0333     0.2845     2.2182
       518   -69.1667   -58.7319     0.0124    59.2689    59.2238             122.2983               0.0379     0.2781     2.2281
       519   -68.3333   -38.5441     0.0032    59.2748    59.2298             122.2872               0.0405     0.2655     2.2250
       520   -67.5000   -15.4077    -0.0074    59.2775    59.2331             122.2731               0.0409     0.2530     2.2100
       521   -66.6667     4.8649    -0.0138    59.2770    59.2327             122.2642               0.0390     0.2516     2.2074
       522   -65.8333    21.7505    -0.0230    59.2736    59.2289             122.2523               0.0333     0.2595     2.2185
       523   -65.0000    41.1463    -0.0336    59.2662    59.2209             122.2400               0.0247     0.2744     2.2293
       524   -64.1667    63.1159    -0.0424    59.2568    59.2117             122.2318               0.0167     0.2842     2.2233
       525   -63.3333    77.6115    -0.0448    59.2537    59.2087             122.2303               0.0141     0.2846     2.2200
       526   -62.5000    81.2036    -0.0442    59.2545    59.2096             122.2305               0.0149     0.2851     2.2201
       527   -61.6667    80.9349    -0.0442    59.2545    59.2096             122.2305               0.0149     0.2851     2.2201
       528   -60.8333    79.3793    -0.0436    59.2553    59.2104             122.2302               0.0155     0.2858     2.2196
       529   -60.0000    72.7891    -0.0401    59.2597    59.2146             122.2276               0.0175     0.2865     2.2231
       530   -59.1667    58.8309    -0.0353    59.2644    59.2191             122.2229               0.0188     0.2826     2.2289
       531   -58.3333    38.7704    -0.0241    59.2717    59.2265             122.2093               0.0228     0.2670     2.2252
       532   -57.5000    15.5067    -0.0129    59.2746    59.2300             122.1944               0.0289     0.2542     2.2094
       533   -56.6667    -4.8295    -0.0053    59.2739    59.2296             122.1839               0.0323     0.2528     2.2063
       534   -55.8333   -21.7292     0.0018    59.2713    59.2266             122.1747               0.0334     0.2592     2.2148
       535   -55.0000   -41.0614     0.0118    59.2644    59.2191             122.1631               0.0328     0.2733     2.2251
       536   -54.1667   -62.9038     0.0218    59.2537    59.2087             122.1538               0.0309     0.2842     2.2184
       537   -53.3333   -77.4842     0.0259    59.2483    59.2036             122.1511               0.0289     0.2849     2.2127
       538   -52.5000   -81.2884     0.0242    59.2507    59.2060             122.1517               0.0307     0.2864     2.2128
       539   -51.6667   -81.0480     0.0230    59.2523    59.2077             122.1516               0.0323     0.2881     2.2112
       540   -50.8333   -79.5065     0.0224    59.2531    59.2085             122.1514               0.0331     0.2887     2.2108
       541   -50.0000   -72.9163     0.0189    59.2575    59.2127             122.1488               0.0367     0.2893     2.2142
       542   -49.1667   -58.9299     0.0106    59.2657    59.2206             122.1405               0.0418     0.2824     2.2245
       543   -48.3333   -38.8057    -0.0003    59.2728    59.2278             122.1273               0.0454     0.2672     2.2211
       544   -47.5000   -15.6482    -0.0103    59.2754    59.2310             122.1140               0.0460     0.2557     2.2069
       545   -46.6667     4.6315    -0.0200    59.2746    59.2305             122.1007               0.0435     0.2541     2.2028
       546   -45.8333    21.6090    -0.0259    59.2725    59.2280             122.0930               0.0398     0.2595     2.2099
       547   -45.0000    40.9271    -0.0350    59.2661    59.2212             122.0824               0.0308     0.2724     2.2194
       548   -44.1667    62.8614    -0.0457    59.2549    59.2102             122.0725               0.0182     0.2838     2.2124
       549   -43.3333    77.4559    -0.0521    59.2464    59.2021             122.0684               0.0095     0.2849     2.2035
       550   -42.5000    81.1753    -0.0533    59.2448    59.2005             122.0680               0.0078     0.2839     2.2034
       551   -41.6667    80.8642    -0.0563    59.2407    59.1963             122.0681               0.0050     0.2797     2.2074
       552   -40.8333    79.3793    -0.0563    59.2407    59.1963             122.0681               0.0050     0.2797     2.2074
       553   -40.0000    72.8881    -0.0521    59.2458    59.2012             122.0651               0.0053     0.2806     2.2113
       554   -39.1667    59.0289    -0.0439    59.2540    59.2092             122.0569               0.0134     0.2739     2.2217
       555   -38.3333    38.9967    -0.0345    59.2602    59.2154             122.0455               0.0239     0.2608     2.2188
