         n   time, ms     sample       mean        RMS    H1, abs              H1, deg              H2, abs    H3, abs    H5, abs
        63  -448.3333   -34.4500    -0.0156    59.5395    59.4961             125.1504               0.0348     0.2460     2.1860
        64  -447.5000   -11.1864    -0.0224    59.5408    59.4978             125.1413               0.0324     0.2401     2.1767
        65  -446.6667     8.2095    -0.0250    59.5404    59.4974             125.1377               0.0303     0.2406     2.1765
        66  -445.8333    25.3142    -0.0295    59.5385    59.4953             125.1321               0.0250     0.2457     2.1825
        67  -445.0000    45.7000    -0.0380    59.5320    59.4883             125.1226               0.0131     0.2576     2.1889
        68  -444.1667    67.1322    -0.0439    59.5253    59.4819             125.1174               0.0057     0.2626     2.1832
        69  -443.3333    79.2661    -0.0468    59.5214    59.4782             125.1157               0.0062     0.2620     2.1795
        70  -442.5000    81.5430    -0.0474    59.5206    59.4773             125.1156               0.0069     0.2614     2.1797
        71  -441.6667    81.1894    -0.0480    59.5198    59.4765             125.1157               0.0077     0.2606     2.1806
        72  -440.8333    78.9408    -0.0480    59.5198    59.4765             125.1157               0.0077     0.2606     2.1806
        73  -440.0000    70.9506    -0.0421    59.5268    59.4833             125.1110               0.0080     0.2597     2.1876
        74  -439.1667    55.6136    -0.0330    59.5353    59.4916             125.1015               0.0204     0.2499     2.1971
        75  -438.3333    34.5561    -0.0259    59.5394    59.4958             125.0928               0.0300     0.2399     2.1924
        76  -437.5000    11.3136    -0.0171    59.5411    59.4980             125.0809               0.0400     0.2318     2.1802
        77  -436.6667    -8.1670    -0.0115    59.5403    59.4973             125.0733               0.0444     0.2327     2.1799
        78  -435.8333   -25.2365    -0.0027    59.5365    59.4930             125.0620               0.0477     0.2428     2.1919
        79  -435.0000   -45.6576     0.0032    59.5320    59.4882             125.0554               0.0474     0.2510     2.1963
        80  -434.1667   -66.9908     0.0091    59.5254    59.4818             125.0503               0.0443     0.2560     2.1906
        81  -433.3333   -79.2095     0.0133    59.5199    59.4765             125.0479               0.0402     0.2553     2.1855
        82  -432.5000   -81.6844     0.0168    59.5150    59.4716             125.0471               0.0355     0.2514     2.1866
        83  -431.6667   -81.3309     0.0168    59.5150    59.4716             125.0471               0.0355     0.2514     2.1866
        84  -430.8333   -79.0398     0.0168    59.5150    59.4716             125.0471               0.0355     0.2514     2.1866
        85  -430.0000   -70.9930     0.0133    59.5192    59.4757             125.0443               0.0375     0.2510     2.1908
        86  -429.1667   -55.5428     0.0100    59.5222    59.4786             125.0409               0.0377     0.2475     2.1942
        87  -428.3333   -34.5843     0.0044    59.5255    59.4820             125.0340               0.0351     0.2396     2.1905
        88  -427.5000   -11.3985    -0.0044    59.5272    59.4841             125.0222               0.0280     0.2316     2.1783
        89  -426.6667     7.9832    -0.0138    59.5259    59.4830             125.0094               0.0189     0.2334     2.1778
        90  -425.8333    25.1092    -0.0224    59.5223    59.4788             124.9984               0.0104     0.2433     2.1894
        91  -425.0000    45.5303    -0.0295    59.5169    59.4731             124.9905               0.0063     0.2531     2.1947
        92  -424.1667    67.0333    -0.0336    59.5122    59.4686             124.9869               0.0074     0.2565     2.1907
        93  -423.3333    79.2095    -0.0359    59.5091    59.4656             124.9856               0.0083     0.2559     2.1877
        94  -422.5000    81.5854    -0.0342    59.5115    59.4681             124.9860               0.0088     0.2579     2.1872
        95  -421.6667    81.2036    -0.0336    59.5123    59.4689             124.9859               0.0094     0.2588     2.1863
        96  -420.8333    78.9974    -0.0312    59.5154    59.4720             124.9848               0.0127     0.2607     2.1854
        97  -420.0000    71.0637    -0.0265    59.5210    59.4775             124.9811               0.0190     0.2598     2.1910
        98  -419.1667    55.7833    -0.0194    59.5277    59.4839             124.9738               0.0269     0.2520     2.1983
        99  -418.3333    34.7753    -0.0103    59.5330    59.4894             124.9625               0.0352     0.2392     2.1923
       100  -417.5000    11.5753     0.0006    59.5351    59.4921             124.9479               0.0426     0.2298     2.1773
       101  -416.6667    -7.9195     0.0109    59.5337    59.4908             124.9339               0.0470     0.2325     2.1767
       102  -415.8333   -25.2930     0.0086    59.5347    59.4920             124.9369               0.0473     0.2297     2.1735
       103  -415.0000   -45.5586     0.0127    59.5315    59.4886             124.9323               0.0440     0.2354     2.1766
       104  -414.1667   -66.5807     0.0298    59.5124    59.4701             124.9173               0.0254     0.2495     2.1603
       105  -413.3333   -79.2237     0.0292    59.5131    59.4709             124.9176               0.0262     0.2496     2.1610
       106  -412.5000   -81.7975     0.0245    59.5196    59.4774             124.9188               0.0328     0.2549     2.1596
       107  -411.6667   -81.2460     0.0280    59.5148    59.4725             124.9192               0.0288     0.2499     2.1646
       108  -410.8333   -79.1671     0.0227    59.5218    59.4795             124.9167               0.0322     0.2545     2.1623
       109  -410.0000   -71.2052     0.0139    59.5324    59.4898             124.9098               0.0350     0.2532     2.1729
       110  -409.1667   -55.7126     0.0068    59.5390    59.4962             124.9025               0.0353     0.2458     2.1802
       111  -408.3333   -34.9450    -0.0082    59.5478    59.5052             124.8839               0.0343     0.2245     2.1705
       112  -407.5000   -11.6601    -0.0191    59.5499    59.5079             124.8693               0.0338     0.2145     2.1555
       113  -406.6667     7.8559    -0.0245    59.5492    59.5073             124.8621               0.0322     0.2154     2.1551
       114  -405.8333    24.9395    -0.0315    59.5462    59.5039             124.8531               0.0276     0.2235     2.1646
       115  -405.0000    45.3394    -0.0395    59.5401    59.4975             124.8442               0.0205     0.2346     2.1707
       116  -404.1667    66.8353    -0.0477    59.5309    59.4886             124.8369               0.0124     0.2416     2.1629
       117  -403.3333    79.1106    -0.0518    59.5254    59.4833             124.8345               0.0081     0.2410     2.1577
       118  -402.5000    81.5854    -0.0518    59.5254    59.4833             124.8345               0.0081     0.2410     2.1577
       119  -401.6667    81.1470    -0.0542    59.5222    59.4800             124.8348               0.0048     0.2377     2.1610
       120  -400.8333    79.0398    -0.0524    59.5245    59.4823             124.8340               0.0069     0.2393     2.1603
       121  -400.0000    71.1486    -0.0489    59.5287    59.4864             124.8312               0.0107     0.2389     2.1645
       122  -399.1667    55.9247    -0.0430    59.5343    59.4918             124.8251               0.0163     0.2327     2.1706
       123  -398.3333    35.0510    -0.0315    59.5410    59.4987             124.8109               0.0274     0.2164     2.1634
       124  -397.5000    11.7025    -0.0262    59.5420    59.5000             124.8038               0.0316     0.2115     2.1560
       125  -396.6667    -7.8630    -0.0239    59.5417    59.4998             124.8007               0.0323     0.2117     2.1558
       126  -395.8333   -24.9253    -0.0085    59.5353    59.4924             124.7810               0.0340     0.2288     2.1764
       127  -395.0000   -45.2333     0.0050    59.5249    59.4815             124.7659               0.0371     0.2478     2.1869
       128  -394.1667   -66.7363    -0.0015    59.5322    59.4885             124.7716               0.0391     0.2423     2.1930
       129  -393.3333   -79.1247     0.0027    59.5267    59.4832             124.7692               0.0348     0.2414     2.1878
       130  -392.5000   -81.6561     0.0085    59.5186    59.4750             124.7677               0.0270     0.2348     2.1895
       131  -391.6667   -81.3026     0.0062    59.5218    59.4783             124.7675               0.0303     0.2381     2.1862
       132  -390.8333   -79.1813     0.0056    59.5226    59.4791             124.7672               0.0310     0.2386     2.1859
       133  -390.0000   -71.2052     0.0056    59.5226    59.4791             124.7672               0.0310     0.2386     2.1859
       134  -389.1667   -55.8964    -0.0021    59.5298    59.4861             124.7592               0.0317     0.2302     2.1940
       135  -388.3333   -35.0298    -0.0056    59.5319    59.4882             124.7549               0.0307     0.2252     2.1917
       136  -387.5000   -11.8298    -0.0127    59.5333    59.4900             124.7454               0.0259     0.2190     2.1819
       137  -386.6667     7.6933    -0.0194    59.5324    59.4892             124.7362               0.0197     0.2204     2.1814
       138  -385.8333    24.7839    -0.0259    59.5297    59.4861             124.7279               0.0125     0.2280     2.1901
       139  -385.0000    45.2404    -0.0301    59.5265    59.4828             124.7233               0.0073     0.2337     2.1933
       140  -384.1667    66.6938    -0.0360    59.5199    59.4765             124.7181               0.0013     0.2385     2.1877
       141  -383.3333    79.1247    -0.0354    59.5207    59.4772             124.7184               0.0013     0.2386     2.1885
       142  -382.5000    81.5854    -0.0354    59.5207    59.4772             124.7184               0.0013     0.2386     2.1885
       143  -381.6667    81.2036    -0.0330    59.5239    59.4805             124.7182               0.0046     0.2419     2.1852
       144  -380.8333    79.0823    -0.0312    59.5263    59.4829             124.7173               0.0069     0.2434     2.1844
       145  -380.0000    71.2617    -0.0265    59.5319    59.4884             124.7137               0.0125     0.2424     2.1899
       146  -379.1667    56.0732    -0.0203    59.5377    59.4940             124.7073               0.0190     0.2356     2.1965
       147  -378.3333    35.1712    -0.0153    59.5407    59.4971             124.7011               0.0232     0.2285     2.1933
       148  -377.5000    11.8440    -0.0094    59.5419    59.4985             124.6932               0.0264     0.2234     2.1851
       149  -376.6667    -7.7357    -0.0041    59.5412    59.4979             124.6860               0.0277     0.2245     2.1847
       150  -375.8333   -24.8051     0.0009    59.5391    59.4955             124.6796               0.0270     0.2303     2.1914
       151  -375.0000   -45.0282     0.0094    59.5326    59.4887             124.6700               0.0239     0.2422     2.1981
       152  -374.1667   -66.5100     0.0189    59.5220    59.4785             124.6617               0.0204     0.2501     2.1893
       153  -373.3333   -79.0540     0.0218    59.5181    59.4747             124.6600               0.0189     0.2496     2.1855
       154  -372.5000   -81.6420     0.0224    59.5173    59.4739             124.6598               0.0183     0.2489     2.1857
       155  -371.6667   -81.3450     0.0206    59.5197    59.4764             124.6596               0.0207     0.2514     2.1832
       156  -370.8333   -79.1954     0.0200    59.5205    59.4772             124.6594               0.0215     0.2519     2.1829
       157  -370.0000   -71.2900     0.0165    59.5247    59.4813             124.6566               0.0252     0.2514     2.1871
       158  -369.1667   -56.0944     0.0083    59.5325    59.4889             124.6481               0.0316     0.2426     2.1959
       159  -368.3333   -35.2207     0.0003    59.5372    59.4937             124.6383               0.0358     0.2313     2.1909
       160  -367.5000   -11.9995    -0.0068    59.5386    59.4955             124.6288               0.0372     0.2249     2.1811
       161  -366.6667     7.5660    -0.0121    59.5379    59.4949             124.6216               0.0361     0.2257     2.1806
       162  -365.8333    24.5718    -0.0209    59.5343    59.4907             124.6103               0.0313     0.2357     2.1924
       163  -365.0000    44.8939    -0.0353    59.5233    59.4791             124.5941               0.0230     0.2559     2.2038
       164  -364.1667    66.4959    -0.0436    59.5141    59.4702             124.5868               0.0195     0.2630     2.1962
       165  -363.3333    79.0398    -0.0471    59.5094    59.4657             124.5847               0.0174     0.2625     2.1917
       166  -362.5000    81.5713    -0.0477    59.5086    59.4649             124.5846               0.0168     0.2618     2.1919
       167  -361.6667    81.2036    -0.0477    59.5086    59.4649             124.5846               0.0168     0.2618     2.1919
       168  -360.8333    79.1530    -0.0448    59.5125    59.4688             124.5832               0.0209     0.2645     2.1905
       169  -360.0000    71.3607    -0.0407    59.5175    59.4736             124.5800               0.0255     0.2641     2.1953
       170  -359.1667    56.2712    -0.0324    59.5252    59.4812             124.5715               0.0324     0.2555     2.2041
       171  -358.3333    35.4046    -0.0227    59.5310    59.4871             124.5595               0.0384     0.2418     2.1982
       172  -357.5000    12.0844    -0.0127    59.5330    59.4896             124.5461               0.0422     0.2323     2.1843
       173  -356.6667    -7.5943    -0.0068    59.5323    59.4890             124.5381               0.0423     0.2330     2.1836
       174  -355.8333   -24.6213     0.0009    59.5291    59.4854             124.5283               0.0392     0.2416     2.1939
       175  -355.0000   -44.8020     0.0103    59.5220    59.4778             124.5177               0.0325     0.2548     2.2014
       176  -354.1667   -66.3544     0.0168    59.5147    59.4708             124.5120               0.0261     0.2605     2.1955
       177  -353.3333   -79.0540     0.0168    59.5147    59.4708             124.5120               0.0261     0.2605     2.1955
       178  -352.5000   -81.6703     0.0156    59.5164    59.4725             124.5123               0.0278     0.2618     2.1952
       179  -351.6667   -81.3026     0.0174    59.5139    59.4700             124.5124               0.0258     0.2593     2.1976
       180  -350.8333   -79.2378     0.0156    59.5163    59.4723             124.5116               0.0268     0.2609     2.1968
       181  -350.0000   -71.4597     0.0085    59.5248    59.4806             124.5062               0.0277     0.2601     2.2050
       182  -349.1667   -56.3065    -0.0003    59.5331    59.4887             124.4970               0.0274     0.2508     2.2146
       183  -348.3333   -35.3975    -0.0077    59.5375    59.4932             124.4880               0.0261     0.2404     2.2101
       184  -347.5000   -12.1622    -0.0144    59.5389    59.4949             124.4789               0.0236     0.2340     2.2007
       185  -346.6667     7.4104    -0.0209    59.5380    59.4942             124.4701               0.0199     0.2347     2.1999
       186  -345.8333    24.4728    -0.0250    59.5363    59.4923             124.4648               0.0166     0.2392     2.2054
       187  -345.0000    44.6959    -0.0333    59.5301    59.4857             124.4555               0.0094     0.2508     2.2121
       188  -344.1667    66.3262    -0.0404    59.5223    59.4781             124.4493               0.0076     0.2572     2.2056
       189  -343.3333    78.9974    -0.0421    59.5199    59.4758             124.4482               0.0079     0.2570     2.2034
       190  -342.5000    81.5571    -0.0427    59.5191    59.4750             124.4481               0.0078     0.2564     2.2035
       191  -341.6667    81.2036    -0.0427    59.5191    59.4750             124.4481               0.0078     0.2564     2.2035
       192  -340.8333    79.1530    -0.0427    59.5191    59.4750             124.4481               0.0078     0.2564     2.2035
       193  -340.0000    71.5021    -0.0368    59.5262    59.4819             124.4435               0.0161     0.2560     2.2103
       194  -339.1667    56.4267    -0.0304    59.5323    59.4878             124.4368               0.0242     0.2493     2.2174
       195  -338.3333    35.5814    -0.0230    59.5367    59.4923             124.4278               0.0317     0.2389     2.2130
       196  -337.5000    12.3601    -0.0115    59.5390    59.4953             124.4124               0.0410     0.2278     2.1970
       197  -336.6667    -7.5448    -0.0094    59.5388    59.4951             124.4096               0.0418     0.2280     2.1967
       198  -335.8333   -24.4304    -0.0015    59.5355    59.4913             124.3994               0.0411     0.2367     2.2073
       199  -335.0000   -44.4626     0.0127    59.5249    59.4800             124.3835               0.0370     0.2566     2.2188
       200  -334.1667   -66.1564     0.0209    59.5157    59.4712             124.3762               0.0334     0.2641     2.2115
       201  -333.3333   -79.0116     0.0227    59.5134    59.4689             124.3751               0.0319     0.2640     2.2092
       202  -332.5000   -81.6278     0.0244    59.5109    59.4665             124.3747               0.0296     0.2621     2.2096
       203  -331.6667   -81.2601     0.0262    59.5085    59.4640             124.3749               0.0271     0.2596     2.2121
       204  -330.8333   -79.4075     0.0191    59.5180    59.4734             124.3717               0.0359     0.2665     2.2086
       205  -330.0000   -71.4314     0.0203    59.5165    59.4720             124.3726               0.0349     0.2665     2.2072
       206  -329.1667   -56.3560     0.0183    59.5185    59.4739             124.3704               0.0352     0.2644     2.2095
       207  -328.3333   -35.6662     0.0071    59.5252    59.4808             124.3567               0.0328     0.2486     2.2029
       208  -327.5000   -12.4026    -0.0029    59.5272    59.4834             124.3433               0.0296     0.2390     2.1889
       209  -326.6667     7.2549    -0.0094    59.5264    59.4827             124.3345               0.0262     0.2397     2.1880
       210  -325.8333    24.2607    -0.0183    59.5228    59.4786             124.3231               0.0201     0.2495     2.1997
       211  -325.0000    44.5545    -0.0242    59.5184    59.4739             124.3165               0.0154     0.2578     2.2046
       212  -324.1667    66.0575    -0.0354    59.5060    59.4619             124.3066               0.0101     0.2677     2.1946
       213  -323.3333    78.9126    -0.0389    59.5013    59.4574             124.3045               0.0106     0.2674     2.1900
       214  -322.5000    81.5571    -0.0389    59.5013    59.4574             124.3045               0.0106     0.2674     2.1900
       215  -321.6667    81.1753    -0.0401    59.4997    59.4557             124.3046               0.0096     0.2657     2.1917
       216  -320.8333    79.1954    -0.0383    59.5020    59.4581             124.3038               0.0118     0.2674     2.1908
       217  -320.0000    71.5728    -0.0353    59.5055    59.4615             124.3015               0.0160     0.2672     2.1942
       218  -319.1667    56.5823    -0.0289    59.5117    59.4675             124.2948               0.0240     0.2605     2.2013
       219  -318.3333    35.8006    -0.0197    59.5172    59.4731             124.2836               0.0333     0.2476     2.1960
       220  -317.5000    12.5086    -0.0135    59.5185    59.4747             124.2753               0.0378     0.2416     2.1874
       221  -316.6667    -7.2195     0.0000    59.5168    59.4733             124.2569               0.0444     0.2432     2.1854
       222  -315.8333   -24.3243     0.0044    59.5150    59.4712             124.2512               0.0451     0.2481     2.1913
       223  -315.0000   -44.4060     0.0068    59.5132    59.4693             124.2486               0.0441     0.2514     2.1932
       224  -314.1667   -65.9726     0.0144    59.5047    59.4611             124.2418               0.0371     0.2581     2.1864
       225  -313.3333   -78.8701     0.0203    59.4969    59.4536             124.2383               0.0298     0.2574     2.1787
       226  -312.5000   -81.6278     0.0203    59.4969    59.4536             124.2383               0.0298     0.2574     2.1787
       227  -311.6667   -81.2319     0.0215    59.4953    59.4520             124.2384               0.0283     0.2558     2.1804
       228  -310.8333   -79.2803     0.0268    59.4882    59.4449             124.2408               0.0252     0.2509     2.1831
       229  -310.0000   -71.6436     0.0180    59.4989    59.4552             124.2340               0.0255     0.2501     2.1932
       230  -309.1667   -56.5257     0.0109    59.5056    59.4618             124.2267               0.0250     0.2428     2.2010
       231  -308.3333   -35.7652     0.0068    59.5080    59.4643             124.2216               0.0234     0.2370     2.1986
       232  -307.5000   -12.6571    -0.0038    59.5103    59.4671             124.2074               0.0184     0.2268     2.1838
       233  -306.6667     7.0498    -0.0124    59.5092    59.4662             124.1958               0.0165     0.2279     2.1825
       234  -305.8333    24.0627    -0.0206    59.5059    59.4624             124.1852               0.0169     0.2371     2.1934
       235  -305.0000    44.2716    -0.0324    59.4971    59.4530             124.1719               0.0221     0.2536     2.2032
       236  -304.1667    65.9585    -0.0365    59.4925    59.4486             124.1682               0.0239     0.2572     2.1995
       237  -303.3333    78.7994    -0.0413    59.4863    59.4426             124.1654               0.0242     0.2565     2.1934
       238  -302.5000    81.5147    -0.0430    59.4838    59.4401             124.1650               0.0235     0.2546     2.1938
       239  -301.6667    81.1894    -0.0424    59.4846    59.4410             124.1649               0.0241     0.2554     2.1930
       240  -300.8333    79.2237    -0.0412    59.4862    59.4425             124.1644               0.0257     0.2565     2.1924
       241  -300.0000    71.6153    -0.0395    59.4884    59.4446             124.1630               0.0281     0.2563     2.1944
       242  -299.1667    56.6884    -0.0351    59.4926    59.4487             124.1585               0.0329     0.2516     2.1993
       243  -298.3333    36.0056    -0.0265    59.4977    59.4540             124.1480               0.0392     0.2395     2.1944
       244  -297.5000    12.7066    -0.0183    59.4995    59.4562             124.1370               0.0427     0.2319     2.1829
       245  -296.6667    -7.0852    -0.0127    59.4988    59.4556             124.1294               0.0428     0.2328     2.1820
       246  -295.8333   -24.1405    -0.0050    59.4957    59.4521             124.1195               0.0396     0.2415     2.1921
       247  -295.0000   -44.1868     0.0041    59.4889    59.4448             124.1092               0.0328     0.2543     2.1997
       248  -294.1667   -65.7322     0.0141    59.4778    59.4341             124.1003               0.0233     0.2629     2.1909
       249  -293.3333   -78.7853     0.0177    59.4731    59.4296             124.0981               0.0191     0.2624     2.1863
       250  -292.5000   -81.6561     0.0165    59.4747    59.4312             124.0985               0.0208     0.2637     2.1861
       251  -291.6667   -81.3026     0.0135    59.4787    59.4354             124.0982               0.0247     0.2679     2.1819
       252  -290.8333   -79.3651     0.0100    59.4835    59.4401             124.0966               0.0282     0.2711     2.1801
       253  -290.0000   -71.8133     0.0029    59.4920    59.4484             124.0912               0.0327     0.2705     2.1882
       254  -289.1667   -56.7449    -0.0062    59.5007    59.4569             124.0818               0.0362     0.2612     2.1983
       255  -288.3333   -36.0056    -0.0162    59.5067    59.4631             124.0695               0.0379     0.2470     2.1926
       256  -287.5000   -12.8339    -0.0236    59.5083    59.4650             124.0596               0.0371     0.2398     2.1823
       257  -286.6667     6.8872    -0.0303    59.5075    59.4644             124.0504               0.0340     0.2404     2.1812
       258  -285.8333    23.9283    -0.0359    59.5052    59.4618             124.0432               0.0293     0.2464     2.1886
       259  -285.0000    44.1232    -0.0421    59.5006    59.4569             124.0362               0.0222     0.2551     2.1938
       260  -284.1667    65.7888    -0.0492    59.4928    59.4493             124.0299               0.0125     0.2616     2.1876
       261  -283.3333    78.8136    -0.0486    59.4936    59.4501             124.0303               0.0133     0.2617     2.1884
       262  -282.5000    81.4440    -0.0516    59.4896    59.4460             124.0295               0.0104     0.2585     2.1890
       263  -281.6667    81.1753    -0.0521    59.4888    59.4452             124.0296               0.0104     0.2577     2.1898
       264  -280.8333    79.2803    -0.0498    59.4919    59.4483             124.0285               0.0093     0.2600     2.1886
       265  -280.0000    71.7708    -0.0433    59.4997    59.4559             124.0236               0.0078     0.2597     2.1959
       266  -279.1667    56.9005    -0.0345    59.5082    59.4641             124.0145               0.0141     0.2509     2.2057
       267  -278.3333    36.2319    -0.0250    59.5139    59.4699             124.0029               0.0233     0.2376     2.2005
       268  -277.5000    12.9329    -0.0156    59.5159    59.4725             123.9903               0.0317     0.2281     2.1873
       269  -276.6667    -6.9084    -0.0082    59.5150    59.4718             123.9803               0.0365     0.2285     2.1860
       270  -275.8333   -23.9778    -0.0015    59.5123    59.4686             123.9716               0.0385     0.2358     2.1949
       271  -275.0000   -43.9676     0.0077    59.5055    59.4614             123.9613               0.0382     0.2486     2.2027
       272  -274.1667   -65.6615     0.0106    59.5023    59.4583             123.9586               0.0369     0.2513     2.2001
       273  -273.3333   -78.7570     0.0118    59.5007    59.4568             123.9579               0.0358     0.2512     2.1986
       274  -272.5000   -81.5995     0.0141    59.4975    59.4535             123.9573               0.0326     0.2487     2.1990
       275  -271.6667   -81.2884     0.0147    59.4967    59.4527             123.9574               0.0318     0.2479     2.1999
       276  -270.8333   -79.3510     0.0153    59.4959    59.4519             123.9576               0.0311     0.2473     2.2002
       277  -270.0000   -71.8840     0.0124    59.4994    59.4554             123.9554               0.0326     0.2471     2.2035
